years_experience,salary
22.12,88935
20.36,78626
29.92,94056
4.7,36162
24.39,91029
12.33,55321
23.5,84564
26.75,88551
29.76,95664
7.98,49030
13.59,55439
28.28,92809
28.37,99235
11.19,56776
28.21,88598
12.18,56464
11.24,48771
22.7,78016
14.14,62223
13.45,70989
11.58,51712
12.98,63706
4.19,47185
1.83,30176
22.62,88568
16.93,70857
20.16,72883
24.07,81730
6.9,40800
7.01,39226
8.34,48299
9.12,53607
22.82,87766
11.23,58716
9.7,45645
19.09,72455
5.6,37506
3.19,39203
20.91,72248
22.69,91451
8.89,47636
19.08,72909
1.02,24007
12.13,58031
17.34,69953
7.6,43860
10.45,51744
18.29,67992
17.7,65462
4.63,45436
21.2,82679
2.4,30439
29.09,92031
6.07,40981
7.61,45242
6.01,39878
29.74,97057
8.6,35577
18.16,76888
29.72,98516
28.5,91261
1.27,25558
15.64,73784
18.04,64211
21.07,79550
10.08,54100
9.84,57117
0.13,33440
1.06,15000
16.5,73774
2.28,36886
6.07,47336
10.0,48734
2.11,34149
0.93,28622
27.81,88863
13.06,60219
6.15,49968
21.25,84188
0.28,20126
7.35,46951
28.82,93946
26.93,99081
19.08,64853
2.8,34067
9.54,48383
0.84,29484
6.58,49701
0.76,27350
3.78,48852
19.0,75110
3.01,26569
4.67,40176
27.08,84719
10.06,63127
9.99,48613
2.6,37611
23.88,86152
20.29,77247
16.41,64999
18.54,67267
3.01,35867
7.81,44105
17.51,73760
28.57,107713
24.51,94069
19.22,68867
15.56,78807
0.45,31461
26.72,90732
2.01,26672
3.87,33450
20.79,74558
24.36,86320
23.6,86819
13.57,49008
5.31,37528
1.06,26295
25.54,92415
29.33,100607
7.32,52475
25.98,89213
12.08,57654
9.34,47250
15.15,63073
0.25,17527
13.28,54258
5.99,31007
21.37,82661
15.08,56581
26.07,100547
26.9,85039
9.5,49944
8.41,47282
28.17,93184
15.12,61684
2.9,28492
1.38,30103
29.71,108054
17.37,63837
1.63,30608
15.34,52801
15.12,58783
13.06,61912
28.54,88116
28.46,101078
3.75,38726
4.55,40483
12.22,50794
25.02,85130
18.71,70557
21.89,75046
17.28,59023
6.3,46712
24.53,95469
0.42,31436
20.95,85459
5.83,40078
14.13,54024
29.25,85676
16.17,66670
1.71,30061
12.86,63391
19.81,61942
1.7,34109
7.58,50951
0.55,27414
16.2,52895
11.44,56724
15.11,66798
8.88,48148
19.7,87570
5.19,32012
27.2,93743
28.8,101416
14.79,55256
13.96,64461
25.79,92685
8.7,44132
24.09,88351
8.62,61177
21.6,83443
10.02,56016
18.08,71978
27.78,90618
1.63,26378
24.22,71027
16.26,66759
11.37,55573
10.51,55045
2.08,24927
7.75,47686
18.69,74162
2.93,33682
20.08,74771
28.87,90053
29.42,98290
26.68,90334
24.2,91785
5.34,42446
29.1,85605
6.08,44310
26.07,94222
26.34,92573
18.66,68922
15.64,68555
6.01,39524
15.58,62566
8.72,47333
3.78,40501
3.85,38643
24.04,82163
27.67,91487
4.26,33935
0.4,29268
7.91,37931
4.03,41188
5.66,33942
17.5,63625
12.67,62890
12.88,62625
6.17,50659
19.94,66028
8.69,46272
11.97,54782
13.9,61067
27.13,91511
7.39,48100
21.56,71718
9.28,44866
26.83,96688
11.82,51605
15.15,75102
26.32,97463
20.18,75493
2.83,31318
4.11,38626
29.72,101335
0.87,31220
9.03,55719
28.77,94861
0.45,23040
4.84,50855
6.4,44351
2.59,31443
14.16,48949
17.77,67451
9.55,50795
3.26,45203
24.33,86867
24.13,92666
16.86,61732
4.13,29861
16.26,74460
18.89,70663
12.85,58582
25.92,91454
11.7,51656
15.33,76320
3.42,41938
16.91,72967
22.99,80119
21.94,81391
7.71,40505
29.76,98053
21.6,85620
12.71,59876
12.45,47192
23.38,85692
5.27,42382
19.19,68968
21.57,70803
15.49,68189
26.2,88253
14.06,67507
13.95,54472
8.54,45480
27.58,102618
9.49,53406
20.86,67099
12.28,62173
28.06,92409
28.44,83937
0.9,34965
29.84,87183
18.15,65171
2.22,35477
14.91,63726
1.48,28419
16.47,65948
5.56,37990
11.04,49969
9.14,46548
18.07,68951
24.67,74305
28.1,91046
9.87,44447
17.09,65480
0.18,20123
11.16,43787
28.82,86465
3.57,34804
26.09,94405
19.58,70577
8.82,42702
23.34,97868
8.68,46400
26.84,97952
2.48,26268
3.57,33152
22.5,85845
13.48,55481
4.42,30873
15.4,61748
8.91,43278
16.48,66991
22.31,83172
25.71,76148
1.77,26824
17.77,72914
29.51,105245
13.79,50047
23.09,79252
2.92,28204
26.21,86911
17.46,69905
26.65,85714
23.61,82539
26.08,90070
1.72,30319
21.47,86314
5.91,32544
7.97,41932
9.74,50973
17.74,79127
18.84,74700
27.94,94307
0.38,28082
5.8,44571
10.86,56785
24.54,88709
16.5,67962
15.36,60392
22.81,82140
19.65,82079
8.7,51930
2.61,22323
13.87,52938
26.4,95567
17.94,75760
1.6,24839
13.2,62845
11.54,61195
17.47,56501
17.61,75322
28.54,84962
10.14,49906
12.24,51340
18.41,76455
26.59,87382
21.18,75058
14.13,67337
24.44,87586
14.56,53269
28.91,95715
8.47,50907
3.82,22129
24.91,87771
8.92,50825
25.42,84720
18.28,80886
15.27,73667
2.61,31960
23.59,88925
1.98,41228
28.95,95329
26.31,94922
9.09,58919
3.84,38593
26.57,100438
14.4,65474
3.75,39605
14.96,74489
7.4,54433
12.24,65004
19.21,66112
27.46,98576
24.03,84070
4.83,34749
14.32,69553
14.76,61001
29.68,99115
2.61,43924
15.32,61954
27.43,100397
11.97,54201
7.85,31075
16.68,66219
9.6,49224
27.81,87732
2.54,31389
6.2,45815
2.52,34629
21.36,77981
8.79,40872
27.01,94850
26.81,84831
28.09,104945
7.68,40529
0.02,18790
11.63,47956
28.88,91837
22.91,85143
1.79,33826
21.08,81593
27.51,92490
29.03,101078
21.48,83720
25.89,91082
25.25,74781
10.75,48096
2.97,26554
21.82,74009
4.11,48290
11.53,69244
29.87,97482
16.79,66648
15.65,70662
28.44,101957
8.52,43846
29.98,108536
27.36,89404
10.92,60199
9.82,44010
3.8,39571
27.47,93319
5.57,51064
0.27,21731
26.7,76832
17.94,74390
20.16,83589
21.99,78989
1.28,29203
2.76,46749
15.0,65302
1.51,33483
15.13,62930
22.09,74262
19.72,79155
18.5,65472
1.39,40586
7.1,41750
26.92,91944
3.7,42431
16.0,65934
1.5,36446
28.18,90341
5.15,43972
12.3,60136
16.4,58609
21.56,73582
28.12,109636
22.09,77938
10.42,51430
2.26,27864
21.22,74681
29.18,99768
0.51,35934
23.24,83761
5.28,42519
13.8,63469
15.68,70568
18.43,69391
29.69,93108
20.62,70487
11.77,53905
21.45,72010
14.0,76609
12.39,65611
10.97,57950
14.8,60833
8.44,38714
7.26,49764
4.45,54082
13.21,61096
8.8,41283
25.11,85554
25.44,82391
10.32,51006
18.57,73927
27.07,94802
10.77,55021
16.64,55559
13.31,54764
19.51,74799
28.79,101100
4.16,35713
28.96,97115
19.97,90914
23.88,79689
19.05,78928
26.11,79657
9.79,59789
21.24,73976
7.92,51431
15.26,71636
20.44,78338
6.03,41058
1.83,31343
23.73,93579
24.27,81018
19.97,81374
9.64,59480
19.75,77366
2.52,24019
19.88,84774
17.29,68845
18.52,68485
13.41,56652
6.75,43942
21.78,81655
13.92,63657
22.36,75566
10.93,49075
2.63,35251
16.27,62699
18.68,71963
27.65,93069
26.63,86237
1.71,25681
23.16,79231
7.84,43898
20.92,75261
11.38,68998
9.66,52934
14.65,59716
15.92,70277
20.83,70515
19.14,72577
20.35,78635
11.52,49944
20.32,74617
10.36,51318
18.23,67811
13.79,62612
16.88,59907
0.53,29964
14.96,66240
6.6,29681
11.57,58327
2.21,40438
19.71,75564
26.81,100043
10.64,53801
3.15,31682
18.61,78647
3.81,44252
26.75,93936
3.67,41001
10.86,49574
14.84,52503
3.54,38203
9.56,51932
8.26,44384
21.4,90083
29.59,92666
10.89,52467
23.72,84078
4.21,35046
17.4,58923
12.98,46291
8.65,46650
24.65,82471
22.39,72964
4.02,38904
8.77,52160
24.59,99508
29.77,91708
18.35,69369
26.15,89228
29.53,93758
22.22,75614
19.34,77420
6.64,45323
11.11,61043
18.71,66898
27.79,89951
9.06,50518
11.86,45554
0.67,24995
20.9,82787
13.31,58329
23.93,80886
7.01,59574
19.79,68104
20.19,79228
13.93,58436
5.66,36251
12.09,51473
22.35,82514
5.68,48557
2.7,41212
13.88,73652
7.04,33661
24.02,88149
24.52,75727
28.36,109645
25.19,89814
19.42,71873
5.61,49834
24.69,75016
21.84,76923
22.41,80956
20.92,75362
24.9,86126
8.94,51182
20.17,81496
15.52,68618
10.14,44511
9.81,44454
4.66,41566
14.75,73038
11.06,51654
12.65,54185
25.55,82771
20.45,78340
20.41,72078
29.52,94212
6.53,45861
15.24,65024
2.78,41466
11.78,58509
28.51,109289
2.58,36144
22.73,82464
25.96,88595
15.27,63155
23.93,87392
13.23,57330
10.6,52619
15.17,63840
5.84,43910
9.22,49511
9.16,39054
29.65,96159
10.05,51824
6.87,46704
28.19,101123
4.16,40819
28.97,92930
25.6,77263
19.41,85902
12.83,58068
5.92,45180
3.19,36561
3.11,36578
10.47,56110
12.21,63089
27.71,95308
16.09,66125
29.72,103058
21.63,73231
4.39,50881
16.61,62746
4.78,42715
1.18,34185
28.31,94417
10.14,48163
5.69,52197
3.05,29535
19.56,77643
13.83,54373
0.35,28254
21.46,79900
7.7,37121
23.42,89005
14.66,68958
16.07,70398
13.72,63493
20.28,71009
29.7,97150
23.94,93422
2.07,28714
14.84,67814
7.03,56890
3.07,31363
5.86,42582
7.44,57363
28.79,96759
22.35,79172
25.59,86326
20.96,77438
9.47,55720
11.73,51405
13.22,63990
8.8,51267
12.64,64345
23.14,88260
2.27,38462
8.3,44252
14.37,63439
20.29,73026
19.38,69447
21.75,89964
3.16,24745
5.42,41548
9.27,49950
8.45,42731
22.67,66415
29.8,92749
20.49,71437
0.99,26342
8.93,39932
24.09,83009
27.73,81519
17.85,68579
10.46,55650
10.65,53131
19.0,83550
25.93,92658
10.22,36444
5.72,37646
0.08,17502
4.12,33497
25.54,85611
18.74,75091
29.72,98367
2.08,37579
10.98,52988
23.87,86315
19.84,86804
2.0,39955
12.04,66921
19.13,66718
20.63,75193
13.55,72369
5.65,42205
28.98,98373
14.0,55653
21.52,75577
16.04,59695
2.42,30320
7.1,38472
1.89,31588
5.72,33689
6.01,33067
12.45,61344
9.65,54223
10.88,53363
24.51,69964
0.64,23625
3.1,23836
24.23,80677
16.02,61353
13.17,59771
8.02,49852
16.27,74338
6.65,38345
25.75,87274
24.72,86648
9.66,47452
0.73,41383
26.63,87655
8.96,58347
19.71,68500
25.74,93731
23.95,86514
25.88,102384
14.67,53180
25.27,79344
13.83,56734
7.91,43340
14.43,55635
10.06,51750
23.01,91301
24.95,97703
4.24,42770
4.93,35085
11.51,56458
13.9,66454
28.69,93101
28.25,90012
29.01,88844
21.89,79816
20.32,68513
8.11,50921
11.18,60251
0.08,23857
24.99,90285
8.28,48871
2.38,27797
9.47,54212
9.7,59539
21.72,76028
0.17,26136
6.9,50167
26.89,109295
25.65,87099
18.87,64663
16.77,72707
6.68,44406
26.25,86548
22.82,82750
15.39,69294
4.83,32341
6.48,38007
11.38,46888
9.93,41809
1.83,27403
12.19,58037
13.46,69222
8.61,59077
11.53,60496
9.97,37460
11.31,56555
18.57,72730
14.92,54384
5.93,47741
23.86,85975
15.4,60003
13.75,59011
21.4,80658
22.56,83548
25.47,84591
24.34,93747
20.07,74593
21.63,79697
4.71,42454
20.98,76351
7.63,41421
7.74,45588
3.6,30620
11.91,51380
0.6,31325
19.71,79991
22.44,81943
23.27,93454
3.87,45831
19.23,81034
25.15,88054
1.08,41148
5.8,35714
8.03,45997
13.86,64673
5.16,51235
16.17,66380
10.32,58573
19.65,75821
15.94,63601
20.59,73512
7.39,42345
21.21,64365
22.04,82430
21.66,80668
2.05,28861
28.38,100746
17.31,72365
8.17,39380
13.02,55865
15.53,71704
15.53,57647
7.44,43765
7.95,50484
10.91,52872
23.43,87558
13.12,51442
1.16,33135
13.57,55918
6.04,32958
0.37,25518
29.31,91506
8.81,61821
16.12,59647
10.75,59764
1.6,28318
27.03,92532
28.07,91681
5.59,45985
12.54,63926
11.21,47077
5.02,38712
19.85,91833
23.46,86405
22.79,78981
20.26,83235
0.52,28240
6.89,50439
15.44,61317
21.09,73336
11.59,48819
13.48,49473
25.22,82331
0.71,24195
8.06,51036
8.7,47073
29.78,95947
6.83,43583
1.41,25282
12.49,54986
19.49,74406
4.6,42858
25.19,86490
5.89,36182
21.13,82047
4.85,42978
26.45,91761
6.04,50535
21.94,75974
25.16,91797
7.65,39146
2.78,29649
17.58,67631
14.97,65945
14.38,55069
23.44,89294
13.89,53755
14.91,57543
14.62,70289
13.64,50054
12.17,65435
4.83,43708
8.86,40948
7.95,51541
7.45,44002
23.48,80807
3.42,46158
6.16,43499
15.79,66396
9.38,46832
7.2,46343
11.2,58059
15.06,58036
20.23,73203
29.17,108145
25.58,88855
12.9,59692
13.55,53288
12.47,56099
7.17,56818
28.55,93088
2.06,37808
6.15,54418
19.86,81599
17.69,60209
8.36,45971
28.11,95980
12.28,55021
17.89,69778
2.73,34964
26.73,88568
3.09,34284
11.82,58529
26.57,94264
28.35,97097
27.12,97004
24.83,87821
7.0,37516
0.96,29263
13.55,60014
1.9,15000
28.82,96909
0.25,30401
9.76,57973
6.1,35808
0.41,29996
14.97,59744
2.28,26278
27.0,87476
20.63,77935
11.1,61579
25.25,81448
23.91,88881
9.79,53317
25.42,95737
27.88,87700
18.6,72951
10.55,55314
27.02,75449
28.29,94158
10.42,48551
2.59,35520
26.03,87415
19.94,87818
6.96,43977
17.01,64561
9.25,52965
27.58,87389
10.26,46709
5.89,38837
1.3,32757
10.28,53468
29.68,101373
6.55,34951
13.74,60753
29.16,89433
0.2,23931
8.85,52765
24.64,80814
2.87,27696
27.85,96425
25.04,81183
4.29,42771
17.77,74478
16.66,69882
20.81,77383
9.21,48134
11.52,54961
7.22,47038
8.76,55377
5.27,40321
27.13,92854
26.62,106681
10.8,48501
20.8,77086
14.71,65523
8.42,49774
10.49,59336
28.95,94137
10.24,58158
17.36,73165
28.35,91016
8.93,46132
24.27,85445
3.42,47830
22.0,82445
24.2,81062
25.12,83165
29.25,97407
21.33,86440
29.32,101629
8.35,62690
15.65,64616
6.42,49712
2.51,27118
13.17,62422
21.59,82169
23.35,85577
0.51,33888
28.27,96859
7.42,44939
8.77,53177
24.97,84346
26.83,93816
22.09,83125
9.98,53288
13.89,54687
25.04,82215
10.72,58803
24.16,82155
23.46,84157
14.06,54342
26.9,92147
11.54,52466
22.5,84333
19.19,74880
9.94,58335
15.95,61122
18.18,64018
16.1,71098
3.32,27047
29.74,102355
29.0,95037
1.12,30336
28.33,93286
15.94,68972
3.77,33824
24.62,90979
12.99,38624
21.4,77352
24.82,82509
16.14,57339
1.49,24559
24.67,85918
20.82,76819
27.3,95293
8.1,45288
23.56,85950
26.19,93194
10.65,60360
12.31,51723
10.02,46858
0.17,20283
6.95,50721
9.95,49200
3.25,37599
22.97,80682
12.81,54825
17.05,69391
8.54,49573
10.81,48486
22.6,82375
14.09,50743
17.9,65084
12.68,63960
16.71,74533
26.92,87658
8.02,50550
15.57,76226
20.62,79867
2.6,25539
28.86,104618
14.96,63656
7.36,46708
22.81,78076
24.47,87694
18.92,83792
27.48,109709
2.67,36127
15.83,54887
22.29,79813
27.5,85230
19.24,70311
18.07,68813
11.65,66398
17.15,68794
16.64,70751
27.15,95194
24.81,90286
22.12,82472
27.71,94264
1.98,32896
23.09,86232
13.91,58935
22.55,79834
8.89,42418
14.02,64022
24.74,90932
1.06,32610
8.73,56813
14.65,64297
25.55,90378
8.1,55066
24.69,83863
7.34,39221
9.09,57285
16.61,55578
19.62,82478
26.4,97295
26.38,93659
7.5,51358
22.37,72214
19.05,71802
11.58,50653
23.28,96580
26.93,99375
14.38,60990
27.48,84738
3.83,27901
4.99,38919
22.93,82041
9.17,50835
17.56,68954
14.91,56731
4.37,49512
22.63,87706
22.24,83057
4.36,47189
7.79,44992
24.02,77288
27.37,87854
26.1,89845
15.06,66672
11.02,50484
13.36,53779
5.29,43110
14.88,65644
6.93,44471
4.86,40323
11.42,51204
1.92,32674
14.11,45926
20.88,72471
19.54,67024
29.26,93000
26.57,90878
19.01,84574
26.93,97338
13.33,52090
23.97,87841
8.53,45910
15.8,74019
29.4,87594
17.96,75479
15.2,67022
23.62,84139
9.37,38251
24.93,99243
0.56,29302
7.15,41445
5.32,42856
7.72,61202
28.37,95780
0.72,20923
8.96,46938
17.23,71433
21.09,76489
23.21,88275
11.5,51790
6.61,39941
